Observer	STREET	TB_number (in the street)	DATE	Real name of the street	TB_tree	TB_soil/grill	TB_taxa
CESCO	RBER	11	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	37	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	38	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	41	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	43	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	60	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	62	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	66	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	67	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	73	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	96	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	98	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	99	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	100	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	101	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	102	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	103	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	107	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	108	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	109	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	112	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	117	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	127	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	135	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	POMM	19	13/05/14	rue de Pommard	Tilia sp.	grill	Cardamine hirsuta
CESCO	POMM	20	13/05/14	rue de Pommard	Tilia sp.	grill	Cardamine hirsuta
CESCO	POMM	33	13/05/14	rue de Pommard	Tilia sp.	grill	Cardamine hirsuta
CESCO	RBER	32	13/05/14	rue de Bercy	Tilia sp.	grill	Cardamine hirsuta
CESCO	RBER	68	13/05/14	rue de Bercy	Tilia sp.	grill	Cardamine hirsuta
CESCO	RBER	88	13/05/14	rue de Bercy	Tilia sp.	grill	Cardamine hirsuta
CESCO	RBER	45	13/05/14	rue de Bercy	Tilia sp.	grill	Cerastium fontanum
CESCO	RBER	47	13/05/14	rue de Bercy	Tilia sp.	grill	Cerastium fontanum
CESCO	RBER	68	13/05/14	rue de Bercy	Tilia sp.	grill	Cerastium fontanum
CESCO	RBER	110	13/05/14	rue de Bercy	Tilia sp.	grill	Cerastium fontanum
CESCO	RBER	111	13/05/14	rue de Bercy	Tilia sp.	grill	Cerastium fontanum
CESCO	RBER	7	13/05/14	rue de Bercy	Tilia sp.	grill	Cerastium glomeratum
CESCO	RBER	58	13/05/14	rue de Bercy	Tilia sp.	grill	Cerastium glomeratum
CESCO	RBER	59	13/05/14	rue de Bercy	Tilia sp.	grill	Cerastium glomeratum
CESCO	RBER	61	13/05/14	rue de Bercy	Tilia sp.	grill	Cerastium glomeratum
