PA_voie;PA_numérobis;COORD_X;COORD_Y
BERY;52;602911.834494;126510.261670
BERY;53;603117.485926;126619.393031
BERY;54;603111.742171;126614.523325
BERY;55;603115.238370;126605.907691
BERY;56;603105.748686;126609.528755
BERY;57;603110.618392;126602.036899
BERY;58;603100.004930;126604.659049
BERY;59;603105.374093;126598.540700
BERY;60;603091.014704;126598.041243
BERY;61;603099.380609;126592.796944
BERY;62;603095.260089;126589.425609
BERY;63;603063.544567;126575.191084
BERY;64;603066.915902;126568.198685
BERY;65;603056.052712;126569.572192
BERY;66;603058.175404;126561.206287
BERY;67;603047.936535;126562.454930
BERY;68;603053.930019;126555.087938
BERY;69;603049.185177;126551.342011
BERY;70;603039.820358;126555.462531
BERY;71;603044.814928;126547.845811
BERY;72;603041.693322;126545.348526
BERY;73;603034.825788;126552.091196
BERY;74;603025.460968;126543.600427
BERY;75;603012.849678;126533.361558
BERY;76;603008.229701;126529.365901
BERY;77;603003.609723;126525.619974
BERY;78;602997.865967;126520.750268
BERY;79;602991.997347;126515.880561
BERY;80;602986.128727;126511.135720
BERY;81;602980.260107;126506.390878
BERY;82;602974.391487;126501.521172
BERY;83;602968.522867;126496.776330
BERY;84;602962.654247;126491.906624
BERY;85;602956.910491;126487.286646
BERY;86;602951.291599;126482.541805
BERY;87;602945.173251;126477.422370
BERY;88;603011.975629;126520.875132
BERY;89;603006.231873;126516.255154
BERY;90;603000.488117;126511.385448
BERY;91;602994.619497;126506.640606
BERY;92;602982.133071;126496.401737
BERY;93;602976.264451;126491.407167
BERY;94;602970.395831;126486.662325
BERY;95;602964.652075;126481.792619
BERY;96;602958.783455;126477.047777
BERY;97;602953.164563;126472.302935
BERY;98;602947.420807;126467.433229
BERY;99;602941.677051;126462.688388
BOSS;1;603431.519535;126946.162794
BOSS;2;603434.890870;126950.408179
BOSS;3;603438.886526;126955.028156
BOSS;4;603442.507590;126959.398405
BOSS;5;603446.628110;126964.268111
BOSS;6;603449.999445;126968.263768
BOUT;1;602912.333951;127274.306064
BOUT;2;602918.202571;127269.436358
BOUT;3;602924.196055;127264.441787
BOUT;4;602931.313318;127258.323439
BOUT;5;602937.431667;127253.328868
BOUT;6;602943.425151;127248.209434
BOUT;7;602949.793228;127242.965135
BOUT;8;602956.161305;127237.595972
BOUT;9;602962.154790;127232.476537
BOUT;10;602968.273138;127227.481967
BOUT;11;602974.391487;127222.362533
CHAR;1;604130.509651;126079.479980
CHAR;2;604133.006936;126075.234595
CHAR;3;604137.502049;126069.865432
CHAR;4;604141.747434;126064.121676
CHAR;5;604146.367411;126058.128192
CHAR;6;604151.611710;126051.260658
CHAR;7;604155.232774;126046.390952
CHAR;8;604158.978701;126041.646110
CHAR;9;604162.599765;126037.026132
CHAR;10;604166.970014;126030.907784
CHAR;11;604171.465127;126025.164028
CHAR;12;604177.084019;126017.797037
CHAR;13;604180.954811;126012.552738
CHAR;14;604184.700739;126007.558168
CHAR;15;604193.191508;125996.570113
CHAR;16;604196.937436;125991.575543
CHAR;17;604201.932006;125985.082601
CHAR;18;604205.927662;125979.838302
CHAR;19;604218.414088;125963.481085
CHAR;20;604222.534609;125957.737329
CHAR;21;604225.781079;125953.616808
CHAR;22;604247.008003;125933.139070
CHAR;23;604251.378252;125928.768821
CHAR;24;604255.748501;125924.523436
CHAR;25;604259.619293;125920.777508
CHAR;26;604263.490085;125916.906716
CHAR;27;604267.985199;125912.786196
CHAR;28;604272.480312;125908.291083
CHAR;29;604276.725697;125904.170562
CHAR;30;604280.721353;125900.174906
CHAR;31;604285.091602;125896.054385
CHAR;32;604289.336987;125891.809001
CHAR;33;604293.582371;125887.563616
CHAR;34;604297.702892;125883.567960
CHAR;35;604301.199091;125880.196625
CHAR;36;604305.194747;125876.325833
CHAR;37;604309.564996;125871.955584
CHAR;38;604313.810381;125868.084792
CHAR;39;604318.055766;125863.839407
CHAR;40;604322.301151;125859.718886
CHAR;41;604326.421671;125855.848094
CHAR;42;604330.667056;125851.727574
CHAR;43;604334.912441;125847.607053
CHAR;44;604338.408640;125844.235718
CHAR;45;604343.278346;125839.366012
CHAR;46;604347.773459;125834.995763
CHAR;47;604352.018844;125830.875243
CHAR;48;604356.139365;125826.879586
CHAR;49;604360.135021;125823.008794
CHAR;50;604363.880949;125819.138002
CHAR;51;604368.126333;125815.017482
CHAR;52;604372.496582;125810.896961
CHAR;53;604376.617103;125807.026169
CHAR;54;604380.612759;125802.905649
CHAR;55;604384.858144;125798.909993
CHAR;56;604389.228393;125794.664608
CHAR;57;604393.723506;125790.294359
CHAR;58;604397.344570;125786.673295
CHAR;59;604401.465090;125782.677639
CHAR;60;604405.835339;125778.432254
CHAR;61;604410.080724;125774.311734
CHAR;62;604414.201245;125770.440942
CHAR;63;604418.571494;125766.195557
CHAR;64;604426.937399;125758.079380
CHAR;65;604431.182784;125753.958860
CHAR;66;604439.673553;125745.592955
CHAR;67;604444.043802;125741.222706
CHAR;68;604448.039458;125737.351914
CHAR;69;604452.409707;125732.981665
CHAR;70;604457.903735;125747.590783
CHAR;71;604453.533486;125751.586439
CHAR;72;604449.288101;125755.956688
CHAR;73;604445.042716;125760.202073
CHAR;74;604440.297874;125764.822050
CHAR;75;604436.801675;125768.318250
CHAR;76;604432.681155;125772.313906
CHAR;77;604428.435770;125776.309562
CHAR;78;604424.065521;125780.430083
CHAR;79;604420.194729;125784.300875
CHAR;80;604416.074208;125788.421395
CHAR;81;604407.458575;125795.913251
CHAR;82;604403.088326;125800.658092
CHAR;83;604399.092669;125804.903477
CHAR;84;604394.972149;125808.774269
CHAR;85;604390.851628;125812.769925
CHAR;86;604386.606244;125816.890446
