STREET,TB_number (in the street),TB_tree,TB_soil/grill
BERC,71,Aesculus hippocastanum,soil
BERC,71,Aesculus hippocastanum,soil
BERC,71,Aesculus hippocastanum,soil
BERC,71,Aesculus hippocastanum,soil
BERC,71,Aesculus hippocastanum,soil
BERC,72,Aesculus hippocastanum,soil
BERC,72,Aesculus hippocastanum,soil
BERC,72,Aesculus hippocastanum,soil
BERC,72,Aesculus hippocastanum,soil
BERC,72,Aesculus hippocastanum,soil
BERC,72,Aesculus hippocastanum,soil
BERC,72,Aesculus hippocastanum,soil
BERC,73,Aesculus hippocastanum,soil
BERC,73,Aesculus hippocastanum,soil
BERC,73,Aesculus hippocastanum,soil
BERC,73,Aesculus hippocastanum,soil
BERC,73,Aesculus hippocastanum,soil
BERC,73,Aesculus hippocastanum,soil
BERC,74,Aesculus hippocastanum,soil
BERC,74,Aesculus hippocastanum,soil
BERC,74,Aesculus hippocastanum,soil
BERC,74,Aesculus hippocastanum,soil
BERC,74,Aesculus hippocastanum,soil
BERC,74,Aesculus hippocastanum,soil
BERC,74,Aesculus hippocastanum,soil
BERC,74,Aesculus hippocastanum,soil
BERC,75,Aesculus hippocastanum,soil
BERC,75,Aesculus hippocastanum,soil
BERC,75,Aesculus hippocastanum,soil
BERC,75,Aesculus hippocastanum,soil
BERC,75,Aesculus hippocastanum,soil
BERC,75,Aesculus hippocastanum,soil
BERC,75,Aesculus hippocastanum,soil
BERC,75,Aesculus hippocastanum,soil
BERC,76,Aesculus hippocastanum,soil
BERC,76,Aesculus hippocastanum,soil
BERC,76,Aesculus hippocastanum,soil
BERC,76,Aesculus hippocastanum,soil
BERC,76,Aesculus hippocastanum,soil
BERC,76,Aesculus hippocastanum,soil
BERC,76,Aesculus hippocastanum,soil
BERC,77,Aesculus hippocastanum,soil
BERC,77,Aesculus hippocastanum,soil
BERC,77,Aesculus hippocastanum,soil
BERC,77,Aesculus hippocastanum,soil
BERC,78,Aesculus hippocastanum,soil
BERC,78,Aesculus hippocastanum,soil
BERC,78,Aesculus hippocastanum,soil
BERC,78,Aesculus hippocastanum,soil
BERC,79,Aesculus hippocastanum,soil
BERC,79,Aesculus hippocastanum,soil
BERC,79,Aesculus hippocastanum,soil
BERC,79,Aesculus hippocastanum,soil
BERC,79,Aesculus hippocastanum,soil
BERC,80,Aesculus hippocastanum,soil
BERC,80,Aesculus hippocastanum,soil
BERC,80,Aesculus hippocastanum,soil
BERC,80,Aesculus hippocastanum,soil
BERC,80,Aesculus hippocastanum,soil
BERC,80,Aesculus hippocastanum,soil
BERC,88,Platanus x acerifolia,soil
BERC,94,Aesculus hippocastanum,soil
